name	color
ときのそら	#245eff
ロボ子さん	#a36694
さくらみこ	#ff9cb4
星街すいせい	#50e5f9
AZKi	#f4348b
白上フブキ	#76dfff
夏色まつり	#ffa227
アキ・ローゼンタール	#ff1c9a
赤井はあと	#fc123f
夜空メル	#ffdd17
大空スバル	#e0ff2c
癒月ちょこ	#ff6e9b
百鬼あやめ	#ed3a4f
紫咲シオン	#ad6ce0
湊あくあ	#ffa6ea
大神ミオ	#ff314a
猫又おかゆ  #e27dfd
戌神ころね	#ffcc29
兎田ぺこら	#88d2ff
白銀ノエル	#89939d
不知火フレア    #ff5028
宝鐘マリン	#ca3c28
潤羽るしあ	#30f9d2
天音かなた	#99d8ff
常闇トワ	#cabaff
姫森ルーナ	#fe84c2
角巻わため	#fff29e
桐生ココ	#fe8b04
桃鈴ねね	#fe7a0f
尾丸ポルカ	#cf2830
雪花ラミィ	#6bcdf8
獅白ぼたん	#a3e5cf
魔乃アロエ	#f78ac4
ラプラス・ダークネス	#936cc6
鷹嶺ルイ	#831550
博衣こより	#ffacd3
風真いろは	#93dcd8
沙花叉クロヱ	#cf4c4a
火威青	#1d3467
音乃瀬奏	#ffe7b5
一条莉々華	#f47da9
儒烏風亭らでん	#3c7c71
轟はじめ	#b6b9ff
響咲リオナ	#fe3480
虎金妃笑虎	#f58017
輪堂千速	#37baba
水宮枢	#71e5ff
綺々羅々ヴィヴィ	#ff90cc
Mori Calliope	#c90d40
Takanashi Kiara	#ff511c
Ninomae Ina'nis	#3f3e69
Watson Amelia	#f2bd36
Gawr Gura	#5d81c7
IRyS	#e10e5b
Ouro Kronii	#1d1797
Hakos Baelz	#fe3a2d
Ceres Fauna	#add198
Nanashi Mumei	#c29371
Tsukumo Sana	#d583ab
Shiori Novella	#b8a0cd
Koseki Bijou	#6e5bf4
Nerissa Ravencroft	#2233fb
Fuwawa Abyssgard	#67b2ff
Mococo Abyssgard	#ff82c9
Elizabeth Rose Bloodflame	#c7383b
Gigi Murin	#fdb440
Cecilia Immergreen	#119a5c
Raora Panthera	#e75786
Ayunda Risu	#ef8381
Moona Hoshinova	#b19ddc
Airani Iofifteen	#b3ee55
Kureiji Ollie	#b7030e
Anya Melfissa	#e89c0f
Pavolia Reine	#0f52ba
Vestia Zeta	#97a1ae
Kaela Kovalskia	#dc2528
Kobo Kanaeru	#161c4f
